accurate_moves,inaccurate_moves,mistake_moves,blunder_moves,average_cp_loss,accuracy_score,player,game_id,elo,result,cheat_ratio,label
1,9,8,18,284.25,71.575,white,game_0,1201,draw,0.6086956521739131,0
3,7,7,18,282.9428571428571,71.7057142857143,black,game_0,1301,draw,0.26666666666666666,0
3,8,6,0,99.76470588235294,90.02352941176471,white,game_1,1217,draw,0.1111111111111111,0
5,8,4,0,77.0,92.3,black,game_1,1301,draw,0.11764705882352941,0
6,12,10,18,251.08695652173913,74.8913043478261,white,game_2,1228,draw,0.5319148936170213,0
8,8,10,20,268.2173913043478,73.17826086956522,black,game_2,1301,draw,0.021739130434782608,0
12,10,6,24,254.82692307692307,74.5173076923077,white,game_3,1246,draw,0.2909090909090909,0
13,8,6,25,264.3269230769231,73.5673076923077,black,game_3,1301,draw,0.6727272727272727,0
2,2,7,15,270.65384615384613,72.93461538461538,white,game_4,1247,draw,0.0,0
3,4,8,11,222.0,77.8,black,game_4,1301,draw,0.23076923076923078,0
5,12,0,23,309.35,69.065,white,game_5,1249,draw,0.44,0
4,13,0,25,317.64285714285717,68.23571428571428,black,game_5,1301,draw,0.12244897959183673,0
18,8,21,9,167.58928571428572,83.24107142857143,white,game_6,1254,draw,0.24358974358974358,0
22,3,20,11,177.92857142857142,82.20714285714286,black,game_6,1301,draw,0.09090909090909091,0
11,7,19,25,238.70967741935485,76.12903225806451,white,game_7,1258,draw,0.25,0
14,3,22,22,237.85245901639345,76.21475409836066,black,game_7,1301,draw,0.31343283582089554,0
1,3,14,8,240.30769230769232,75.96923076923076,white,game_8,1267,draw,0.2222222222222222,0
2,1,15,8,239.42307692307693,76.0576923076923,black,game_8,1301,draw,0.4444444444444444,0
6,3,10,15,242.52941176470588,75.74705882352941,white,game_9,1272,draw,0.3235294117647059,0
6,3,9,15,249.6969696969697,75.03030303030303,black,game_9,1301,draw,0.23529411764705882,0
30,18,4,1,44.18867924528302,95.5811320754717,white,game_10,1277,draw,0.24528301886792453,0
33,16,3,1,38.16981132075472,96.18301886792453,black,game_10,1301,draw,0.16981132075471697,0
1,15,15,61,320.07608695652175,67.99239130434782,white,game_11,1278,draw,0.696969696969697,0
3,12,12,64,326.31868131868134,67.36813186813185,black,game_11,1301,draw,0.7373737373737373,1
2,12,9,10,216.84848484848484,78.31515151515151,white,game_12,1280,draw,0.6176470588235294,0
5,8,11,9,204.66666666666666,79.53333333333333,black,game_12,1301,draw,0.0,0
4,9,7,32,327.86538461538464,67.21346153846153,white,game_13,1281,draw,0.21818181818181817,0
8,5,7,31,326.11764705882354,67.38823529411764,black,game_13,1301,draw,0.09259259259259259,0
1,3,0,32,431.8888888888889,56.8111111111111,white,game_14,1286,draw,0.5405405405405406,0
1,3,0,32,426.72222222222223,57.327777777777776,black,game_14,1301,draw,0.6388888888888888,0
31,11,0,8,96.74,90.326,white,game_15,1286,draw,0.7413793103448276,1
32,9,0,8,96.73469387755102,90.3265306122449,black,game_15,1301,draw,0.6896551724137931,0
2,5,12,26,322.26666666666665,67.77333333333334,white,game_16,1288,draw,0.3137254901960784,0
1,7,11,26,322.4222222222222,67.75777777777778,black,game_16,1301,draw,0.16,0
5,8,4,22,309.28205128205127,69.07179487179488,white,game_17,1288,draw,0.13953488372093023,0
2,4,10,22,336.44736842105266,66.35526315789474,black,game_17,1301,draw,0.5348837209302325,0
2,4,9,16,290.06451612903226,70.99354838709678,white,game_18,1292,draw,0.09302325581395349,0
1,5,9,16,279.9032258064516,72.00967741935484,black,game_18,1301,draw,0.30952380952380953,0
21,8,15,33,218.1818181818182,78.18181818181819,white,game_19,1293,draw,0.4358974358974359,0
24,8,12,33,214.3116883116883,78.56883116883117,black,game_19,1301,draw,0.5256410256410257,0
2,9,2,36,353.0612244897959,64.6938775510204,white,game_20,1293,draw,0.0847457627118644,0
6,7,1,36,338.84,66.116,black,game_20,1301,draw,0.10344827586206896,0
14,12,7,37,266.51428571428573,73.34857142857143,white,game_21,1293,draw,0.7272727272727273,1
9,15,9,36,268.2028985507246,73.17971014492754,black,game_21,1301,draw,0.5714285714285714,0
6,6,9,10,207.7741935483871,79.22258064516129,white,game_22,1294,draw,0.03125,0
6,3,11,11,245.41935483870967,75.45806451612903,black,game_22,1301,draw,0.28125,0
20,6,5,0,56.483870967741936,94.3516129032258,white,game_23,1295,draw,0.375,0
20,6,5,0,47.74193548387097,95.2258064516129,black,game_23,1301,draw,0.1935483870967742,0
2,8,15,25,295.06,70.494,white,game_24,1296,draw,0.19672131147540983,0
5,9,14,24,282.13461538461536,71.78653846153847,black,game_24,1301,draw,0.08333333333333333,0
2,8,6,16,297.6875,70.23125,white,game_25,1296,draw,0.3541666666666667,0
3,8,5,16,289.6875,71.03125,black,game_25,1301,draw,0.7083333333333334,1
2,6,10,26,332.8181818181818,66.71818181818182,white,game_26,1296,draw,0.14545454545454545,0
7,5,6,28,318.32608695652175,68.16739130434783,black,game_26,1301,draw,0.1111111111111111,0
7,4,0,13,265.0833333333333,73.49166666666667,white,game_27,1297,draw,0.16666666666666666,0
9,1,1,13,266.8333333333333,73.31666666666666,black,game_27,1301,draw,0.5,0
7,4,7,6,172.125,82.7875,white,game_28,1298,draw,0.28,0
9,3,6,6,175.16666666666666,82.48333333333333,black,game_28,1301,draw,0.25,0
5,6,6,32,331.7142857142857,66.82857142857142,white,game_29,1298,draw,0.74,1
6,6,6,30,326.6875,67.33125,black,game_29,1301,draw,0.1836734693877551,0
3,18,29,15,219.8,78.02,white,game_30,1298,draw,0.3026315789473684,0
7,14,26,19,230.27272727272728,76.97272727272727,black,game_30,1301,draw,0.5789473684210527,0
8,2,10,25,331.02222222222224,66.89777777777778,white,game_31,1298,draw,0.47368421052631576,0
6,3,12,23,326.25,67.375,black,game_31,1301,draw,0.4107142857142857,0
