Threshold,TP,FP,TN,FN,Precision,Recall,F1-score
0.1,924,2020,423,136,0.314,0.872,0.462
0.15,827,1727,716,233,0.324,0.78,0.458
0.2,730,1470,973,330,0.332,0.689,0.448
0.25,643,1223,1220,417,0.345,0.607,0.44
0.3,560,1069,1374,500,0.344,0.528,0.417
0.35,497,909,1534,563,0.353,0.469,0.403
0.4,443,803,1640,617,0.356,0.418,0.384
0.45,398,693,1750,662,0.365,0.375,0.37
0.5,354,613,1830,706,0.366,0.334,0.349
0.55,308,532,1911,752,0.367,0.291,0.324
0.6,264,462,1981,796,0.364,0.249,0.296
0.65,222,387,2056,838,0.365,0.209,0.266
0.7,194,305,2138,866,0.389,0.183,0.249
0.75,148,227,2216,912,0.395,0.14,0.206
0.8,108,153,2290,952,0.414,0.102,0.164
0.85,80,91,2352,980,0.468,0.075,0.13
0.9,41,50,2393,1019,0.451,0.039,0.071
